method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,baseline,Office,1.25,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,6.731244087219238,3.127986431121826,17.88009262084961,6.742746829986572,3.137953281402588,17.88670539855957,0.1692931354045868,2301.1212310003657,3.7661558608843957,0.1437751472040216
classical_nf,baseline,Office,1.25,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,5.718037128448486,2.5253374576568604,14.2676420211792,5.731533050537109,2.5297484397888184,14.268505096435547,0.18184493482112885,0.0,0.0,0.0
classical_nf,baseline,Office,1.25,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,6.808195114135742,3.0934805870056152,18.045488357543945,6.819995880126953,3.101597785949707,18.046083450317383,0.16881921887397766,0.0,0.0,0.0
classical_nf,baseline,Office,1.25,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,7.2498393058776855,3.7284953594207764,19.21467399597168,7.259470462799072,3.7452895641326904,19.215702056884766,0.16195878386497498,0.0,0.0,0.0
classical_nf,response,Office,1.25,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,6.792566299438477,3.276251792907715,17.566686630249023,6.808679580688477,3.2872352600097656,17.57155990600586,0.2131182700395584,8795.766678000291,14.395690144026663,0.5161834904929749
classical_nf,response,Office,1.25,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,5.662948131561279,2.6025962829589844,13.890813827514648,5.680663585662842,2.613776683807373,13.890949249267578,0.25033801794052124,0.0,0.0,0.0
classical_nf,response,Office,1.25,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,6.959949493408203,3.2832190990448,17.8881893157959,6.977398872375488,3.295470714569092,17.888385772705078,0.21030175685882568,0.0,0.0,0.0
classical_nf,response,Office,1.25,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,7.228580951690674,3.8345468044281006,18.872867584228516,7.240897178649902,3.8659558296203613,18.873184204101562,0.19329549372196198,0.0,0.0,0.0
classical_nf,vignette,Office,1.25,synthetic_gamma_vignette_exposure,all,17843,16535,0.9266939416017486,6.800179481506348,3.194675922393799,17.97500991821289,6.812332630157471,3.1994590759277344,17.97699546813965,0.1858387589454651,3437.820936997241,5.626548178391556,0.20791175911685764
classical_nf,vignette,Office,1.25,synthetic_gamma_vignette_exposure,center,3155,2956,0.9369255150554675,5.714846611022949,2.520526170730591,14.263065338134766,5.728305339813232,2.5225369930267334,14.26396656036377,0.18474358320236206,0.0,0.0,0.0
classical_nf,vignette,Office,1.25,synthetic_gamma_vignette_exposure,middle,9589,8750,0.912503910731046,6.884219169616699,3.138735294342041,18.14442253112793,6.896204471588135,3.1524860858917236,18.144441604614258,0.1818905770778656,0.0,0.0,0.0
classical_nf,vignette,Office,1.25,synthetic_gamma_vignette_exposure,border,5099,4829,0.947048440870759,7.312272071838379,3.900583505630493,19.203365325927734,7.323930740356445,3.9088263511657715,19.205055236816406,0.19366317987442017,0.0,0.0,0.0
classical_nf,exposure,Office,1.25,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,6.886460304260254,3.4457716941833496,17.730670928955078,6.893824100494385,3.4507031440734863,17.735244750976562,0.11629214882850647,2687.2276969986615,4.3980813371500185,0.16789926254287169
